Week Ending,Adult-Use Retail Sales,Medical Marijuana Retail Sales,Total Adult-Use and Medical Sales,Adult-Use Products Sold,Medical Products Sold,Total Products Sold,Adult-Use Average Product Price,Medical Average Product Price
1/14/2023,1485019.32,1776700.69,3261720.01,33610,49312,82922,44.25,36.23
1/21/2023,1487815.81,2702525.61,4190341.42,33005,77461,110466,45.08,34.89
1/28/2023,1553216.3,2726237.56,4279453.86,34854,76450,111304,44.56,35.65
1/31/2023,578840.62,863287.86,1442128.48,12990,24023,37013,44.56,35.93
2/4/2023,1047436.2,1971731.4,3019167.6,24134,56666,80800,43.49,34.84
2/11/2023,1671205.8,2815023.87,4486229.67,38764,77454,116218,43.33,36.3
2/18/2023,1742486.74,3008219.03,4750705.77,42178,83065,125243,41.56,36.33
2/25/2023,1862822.43,2793882.27,4656704.7,45919,75990,121909,40.76,36.74
2/28/2023,700300.78,853033.11,1553333.89,17570,23469,41039,39.96,36.35
3/4/2023,1355673.59,2145964.9,3501638.49,33548,56607,90155,40.42,37.98
3/11/2023,2100022.43,2664338.4,4764360.83,51174,71988,123162,41.08,36.92
3/18/2023,2124468.68,2674501.67,4798970.35,52042,72728,124770,40.81,36.68
3/25/2023,2151040.59,2798631.38,4949671.97,53130,75500,128630,40.5,37.06
3/31/2023,1831943.14,2292570.07,4124513.21,45080,62239,107319,40.65,36.66
4/1/2023,418812.68,411394.13,830206.81,10364,11121,21485,40.41,36.99
4/8/2023,2403561.83,2666563.86,5070125.69,59704,74195,133899,40.26,35.94
4/15/2023,2087159.31,2517920.96,4605080.27,52875,70671,123546,39.47,35.63
4/22/2023,2496234.15,3085786.74,5582020.89,66199,86307,152506,37.71,35.75
4/29/2023,2507966.33,2561633.8,5069600.13,63190,67718,130908,39.69,37.83
4/30/2023,286293,183661.24,469954.24,7167,4973,12140,39.95,36.93
5/6/2023,2282560.02,2414465.01,4697025.03,57754,67006,124760,39.52,36.03
5/13/2023,2564913.32,2458332.18,5023245.5,64687,67872,132559,39.65,36.22
5/20/2023,2617368.35,2465160.61,5082528.96,65731,68606,134337,39.82,35.93
5/27/2023,2800947.71,2841464.8,5642412.51,70934,79680,150614,39.49,35.66
5/31/2023,1280002.9,1049495.2,2329498.1,32948,29594,62542,38.85,35.46
6/3/2023,1390943.35,1376935.93,2767879.28,35095,37613,72708,39.62,36.6
6/10/2023,2828270.87,2468881.28,5297152.15,70454,65602,136056,40.15,37.55
6/17/2023,2875410.83,2585081.31,5460492.14,71879,68506,140385,40.11,37.83
6/24/2023,2903411.26,2524419.26,5427830.52,72603,66998,139601,39.94,37.73
6/30/2023,2544960.59,2408269.64,4953230.23,63479,64574,128053,40.19,37.42
7/1/2023,473217.98,460581.25,933799.23,11876,11012,22888,39.85,41.83
7/8/2023,2890082.75,2312022.99,5202105.74,71956,60136,132092,40.11,38.46
7/15/2023,2981657.61,2464306.71,5445964.32,73530,62523,136053,40.55,39.41
7/22/2023,2981433.64,2437203.52,5418637.16,73419,62138,135557,40.62,39.54
7/29/2023,2966760.63,2389904.19,5356664.82,74494,60394,134888,39.97,39.81
7/31/2023,725428.91,545129.04,1270557.95,18902,14037,32939,38.42,38.88
8/5/2023,2354292.08,1920738.17,4275030.25,60171,48816,108987,39.11,39.37
8/12/2023,3150213.59,2524250.92,5674464.51,79640,64454,144094,39.58,39.29
8/19/2023,3154663.06,2365347.61,5520010.67,80036,60189,140225,39.45,39.4
8/26/2023,3212642.77,2440709.72,5653352.49,81333,61919,143252,39.53,39.42
8/31/2023,2128558.59,1687225.97,3815814.56,53520,43017,96537,39.76,39.3
9/2/2023,1253447.63,1104080.66,2357558.29,32383,27354,59917,38.74,40.24
9/9/2023,3134372.02,2250751.05,5385123.07,81345,59987,141332,38.6,37.37
9/16/2023,3293747.3,2428145.42,5721892.72,86627,63169,149796,38.13,38.34
9/23/2023,3294533.61,2403860.11,5698393.72,86311,65120,151431,38.22,37.09
9/30/2023,3412650.76,2628149.81,6040800.57,89369,68486,157855,38.14,38.02
10/7/2023,3290023.19,2275197.04,5565220.23,87830,62114,149944,37.51,36.82
10/14/2023,3420806.53,2423405.19,5844211.72,92222,66829,159051,37.16,36.35
10/21/2023,3411081.96,2219977.1,5631059.06,92015,60874,152889,37.11,36.4
10/28/2023,3328567.13,2265270.29,5593837.42,88093,61753,149846,37.37,36.71
10/31/2023,1293239.48,938302.59,2231542.07,33482,25982,59464,38.61,36.1
11/4/2023,2277597.14,1538581.46,3816178.6,59106,41914,101020,38.53,36.71
11/11/2023,3524502.55,2305732.8,5830235.35,92207,64603,156810,38.22,35.69
11/18/2023,3536338.62,2373643.44,5909982.06,90943,65723,156666,38.89,36.12
11/25/2023,3805607.99,2640521.08,6446129.07,100639,73357,173996,37.81,36
11/30/2023,2228496.2,1458784.44,3687280.64,57484,36094,93578,38.77,40.42
12/2/2023,1286682.94,824166.11,2110849.05,33097,23321,56418,38.87,35.38
12/9/2023,3627347.27,2251293.84,5878641.11,94216,64373,158859,38.56,35.09
12/16/2023,3620281.09,2248358.18,5868639.27,96762,64512,161274,37.42,34.87
12/23/2023,4495101.72,2795871.78,7290973.5,120223,79389,199162,37.45,35.12
12/30/2023,3695608.84,2043487.28,5739096.12,97300,53288,155919,37.87,34.75
12/31/2023,450004.14,215083.51,665087.65,12346,6250,18596,36.45,34.41
1/6/2024,3205959.19,1926337.54,5132296.73,83637,53826,137463,38,35.32
1/13/2024,3446057.56,2103106.7,5549164.26,89099,58772,147871,38.5,35.73
1/20/2024,3664976.83,2114370.83,5779347.66,91068,57398,148466,40.26,36.83
1/27/2024,3547403.27,2110002.8,5657406.07,90414,57047,147461,39.27,36.94
1/31/2024,1752481.44,1119511.4,2871992.84,45201,26890,75684,38.91,37.15
2/3/2024,1836876.94,1086289.39,2923166.33,45821,28137,73958,40.09,38.64
2/10/2024,3586336.81,2129678.51,5716015.32,88998,56714,145712,41.24,37.84
2/17/2024,3627334.62,2009764.56,5637099.18,91355,55498,146853,39.53,36.62
2/24/2024,3669168.98,2033277.74,5702446.72,90264,57037,147301,40.63,35.83
2/29/2024,2329512.3,1368759.76,3698272.96,57623,34916,96853,40.46,35.15
